"primary_project","project_id",stream,"stream_id"
"IDIMDFBB_mdf_bt_connection_manager_nis",12969,"IDIMDFBB_mdf_bt_connection_manager_nis_linux_host_gtest",12185
"IDIMDFBB_mdf_bt_storage_manager_DEA7XX",12911,"IDIMDFBB_mdf_bt_storage_manager_DEA7XX_linux_host",12137
"10030170_IHU_Android",12387,"10030170_IHU_Android_flexraymostrouter",12153
"IDIMDFBB_mdf_bt_power_moding_DEA7XX",12913,"IDIMDFBB_mdf_bt_power_moding_DEA7XX_linux_host",12138
"IDIMDFBB_mdf_dsp_775x",11057,"IDIMDFBB_mdf_dsp_775x_linux_host",12140
"10031680_CHB072eAD_NEW_VP",12946,"10031680_CHB072eAD_NEW_VP_SOP_2018",12162
"10030393_MLDADP",12986,"10030393_MLDADP_Build_Server",12196
"IDIMDFBB_mdf_775x_coeff_calc",12916,"IDIMDFBB_mdf_775x_coeff_calc_linux_host",12141
"10032605_Hyundai_DU2_SRR5",12948,"10032605_Hyundai_DU2_SRR5_Prh",12163
"IDIMDFBB_mdf_audio_775x_drvr",12918,"IDIMDFBB_mdf_audio_775x_drvr_linux_host",12142
"10030089_Audi_FBK_Check",12523,"10030089_Audi_FBK_SIL_night_2018",12159
"10030089_Audi_FBK_Check",12523,"10030089_Audi_FBK_CAMERA_BUILD_2018",12164
"IDIMDFBB_mdf_audio_775x_drvr_bridge",12920,"IDIMDFBB_mdf_audio_775x_drvr_bridge_linux_host",12143
"IDIMDFBB_mdf_audio_775x_drvr_mgr",12922,"IDIMDFBB_mdf_audio_775x_drvr_mgr_linux_host",12144
"10031600_MY21_Ford_DAT2_ADAS_HOST",12265,"10031600_MY21_Ford_DAT2_ADAS_HOST_P702_StageD",12168
"IDIMDFBB_mdf_audio_facade",12924,"IDIMDFBB_mdf_audio_facade_linux_host",12145
"IDIMDFBB_mdf_audio_focus_mgr",11071,"IDIMDFBB_mdf_audio_focus_mgr_linux_host",12146
"IDIMDFBB_mdf_connectivity_mgr_nis",12517,"IDIMDFBB_mdf_connectivity_mgr_qnx",10850
"IDIMDFBB_mdf_audio_mgr_facade",12927,"IDIMDFBB_mdf_audio_mgr_facade_linux_host",12147
"10031303_F360RadarTracker_Renault",12952,"10031303_F360RadarTracker_Renault_1",12170
"IDIMDFBB_mdf_sys_sounds",12929,"IDIMDFBB_mdf_sys_sounds_linux_host",12148
"IDIMDFBB_mdf_audio_mute_mgr",11073,"IDIMDFBB_mdf_audio_mute_mgr_linux_host",12149
"IDIMDFBB_mdf_audio_routing_ctrl",12932,"IDIMDFBB_mdf_audio_routing_ctrl_linux_host",12150
"IDIMDFBB_mdf_power_moding_dea7xx",12934,"IDIMDFBB_mdf_power_moding_dea7xx_linux_host",12151
"10030170_IHU_Android",12387,"10030170_IHU_Android_stomp",12154
"10030170_IHU_Android",12387,"10030170_IHU_Android_sensorhalsmi130",12155
"10032605_Boot_APK_Hyundai_DU2_SRR5",12956,"10032605_Boot_APK_Hyundai_DU2_SRR5_Initial",12173
"10030968_P2952_SEM",11684,"10030968_P2952_SEM_MP_sensorhalsmi130",12156
"10030968_P2952_SEM",11684,"10030968_P2952_SEM_MP_libwebsocketclient",12157
"10030170_IHU_Android",12387,"10030170_IHU_Android_libwebsocketclient",12158
"10032439_MY19_GWM_Navi",12958,"10032439_MY19_GWM_Navi_AP",12174
"10032439_MY19_GWM_Navi",12958,"10032439_MY19_GWM_Navi_Cpp",12175
"10031588_MY19_JLR_ISP_VIP_MIDLINE",12962,"10031588_MY19_JLR_ISP_VIP_MIDLINE_Main",12177
"10031588_MY19_JLR_ISP_VIP_MIDLINE",12962,"10031588_MY19_JLR_ISP_VIP_MIDLINE_MISRA",12178
BUDHISAGAR,12936,"BUDHISAGAR_10031831_GWM_V3",12197
"10031237_SGM_LNGI_DEV_g1ub_my18_coverity_cpp_",12961,"10031237_SGM_LNGI_DEV_g1ub_my18_coverity_cpp",12176
"10030815_SGM_ICI2_ANDROID",11726,"10030815_SGM_ICI2_ANDROID_k226_cpp",12172
"IDIMDFBB_HMI_DEA7XX",12965,"IDIMDFBB_HMI_DEA7XX_linux_host",12179
"IDIMDFBB_mdf_bt_phonecall_manager_nis",12971,"IDIMDFBB_mdf_bt_phonecall_manager_nis_linux_host_core",12186
"IDIMDFBB_futaba_display_driver",12967,"IDIMDFBB_futaba_display_driver_linux_host",12180
